,Latitude,Longitude,Total Capacity (MW),Annual,,First Yr Annual (MWh)
3635,44.41,-76.21,0.005,4.28,,6.86
3144,46.06,-70.95,0.005,4.15,,6.61
1094,47.2,-81.99,0.005,2.85,,6.85
1005,52.36,-114.36,0.005,4.53,,6.23
2800,52.54,-56.29,0.005,3.63,,5.43
889,46.24,-78.29,0.005,4.31,,6.78
1415,48.93,-67.16,0.005,4.17,,6.22
2061,45.09,-66.47,0.005,4.12,,6.72
3693,49.15,-125.9,0.005,3.43,,5.6
3194,46.11,-74.59,0.005,4.36,,6.78
1587,45.44,-75.74,0.005,4.38,,6.96
608,50.23,-113.14,0.005,4.84,,6.81
1883,53.48,-113.54,0.005,4.37,,6.32
2498,52.32,-114.12,0.005,4.57,,6.15
2928,46.68,-64.86,0.005,4.21,,6.67
2707,54.34,-109.77,0.005,4.56,,5.99
1300,50.55,-99.19,0.005,4.77,,6.72
92,44.48,-79.82,0.005,4.21,,6.83
352,49.6,-96.68,0.005,4.65,,6.77
876,44.09,-77.2,0.005,4.36,,7
2112,49.4,-110.69,0.005,4.99,,7
726,41.98,-82.93,0.005,4.43,,7.13
2777,52.59,-103.25,0.005,4.65,,6.4
2159,46.23,-73.01,0.005,4.33,,6.72
1428,49.67,-95.9,0.005,4.61,,6.68
1734,49.66,-107,0.005,4.98,,6.87
716,53.07,-108.33,0.005,4.78,,6.07
2535,44.38,-77.97,0.005,4.35,,7.1
357,49.23,-100.05,0.005,4.93,,6.96
285,49.73,-100.19,0.005,4.27,,6.81
3941,45.81,-76.88,0.005,4.38,,7.05
3185,48.22,-70.21,0.005,4.31,,6.31
2991,45,-64.7,0.005,4.37,,6.61
2039,50.98,-107.13,0.005,4.96,,6.61
35,48.58,-93.52,0.005,4.13,,6.74
2608,49.03,-119.46,0.005,4.14,,7.06
2956,43.57,-65.59,0.005,3.36,,6.76
2523,53.53,-60.14,0.005,3.6,,5.06
2806,44.74,-79.81,0.005,4.2,,6.95
2059,49.43,-88.12,0.005,4.3,,6.51
3446,50.9,-116.36,0.005,4.39,,6.09
2086,44.63,-75.61,0.005,4.36,,6.91
1753,52.95,-105.02,0.005,4.74,,6.05
3984,50.09,-104.72,0.005,4.99,,6.82
1491,46.14,-64.39,0.005,4.17,,6.65
2094,44.47,-75.87,0.005,4.37,,6.85
1405,44.19,-76.98,0.005,4.78,,6.93
170,49.38,-99.24,0.005,4.86,,6.87
3423,44.7,-81.21,0.005,4.18,,6.93
3233,45.26,-73.61,0.005,4.34,,6.7
518,51.63,-102.43,0.005,4.73,,6.51
365,54.26,-110.73,0.005,4.53,,5.83
2240,44.94,-65.06,0.005,4.11,,6.41
69,56.9,-120.9,0.005,4.77,,5.78
3398,54.77,-127.17,0.005,3.55,,5.37
3970,56.1,-118.07,0.005,4.34,,5.81
1927,53.02,-106.74,0.005,4.8,,6.13
879,49.53,-124.81,0.005,3.74,,6.14
714,43.96,-78.16,0.005,4.32,,7.02
1600,51.89,-102.26,0.005,4.68,,6.47
592,45.8,-65.58,0.005,4.18,,6.62
3019,44.34,-77.33,0.005,4.37,,6.88
449,48.82,-56.84,0.005,3.45,,5.56
2214,42.81,-81.55,0.005,4.24,,6.74
362,46.23,-79.14,0.005,4.25,,6.98
2534,44.06,-66.02,0.005,4.35,,6.65
3374,50.83,-118.98,0.005,4.04,,5.92
3003,55.9,-120.13,0.005,4.29,,5.78
1962,51.59,-113.48,0.005,4.76,,6.36
675,58.78,-94.18,0.005,4.09,,3.99
791,51.04,-105.81,0.005,4.95,,6.53
299,45.37,-63.25,0.005,4,,6.51
135,47.98,-66.72,0.005,4.21,,6.35
909,51.8,-108.83,0.005,4.9,,6.32
2481,47.73,-65.73,0.005,4.27,,6.63
2914,49.85,-95.55,0.005,4.58,,6.73
1820,45.68,-76.21,0.005,4.36,,6.84
3555,50.44,-101.3,0.005,4.89,,6.89
2049,45.53,-76.01,0.005,4.39,,6.91
2119,50.96,-114.03,0.005,3.55,,6.65
2390,49.13,-113.59,0.005,4.64,,6.94
237,45.88,-64.57,0.005,4.55,,6.67
3911,53,-105.14,0.005,4.74,,6
1637,48.76,-80.68,0.005,4.23,,6.56
1750,45.78,-61.31,0.005,4.42,,6.02
3370,49.61,-95.1,0.005,4.89,,6.33
1837,49.14,-104.19,0.005,5.05,,7.07
70,42.82,-81.86,0.005,4.28,,6.89
3914,43.55,-80.71,0.005,4.16,,6.82
2610,45.33,-75.58,0.005,4.38,,7.03
2025,48.64,-59,0.005,3.47,,5.93
1059,50.95,-110,0.005,4.97,,6.68
1644,46.19,-67.6,0.005,4.17,,6.61
1860,45.01,-76.36,0.005,4.41,,6.9
898,44.62,-65.75,0.005,4.08,,6.55
28,43.85,-79.03,0.005,4.26,,6.93
2512,43.5,-65.6,0.005,3.98,,6.84
1241,48.76,-123.45,0.005,3.91,,6.51
3459,45.98,-67.54,0.005,4,,6.68
4032,50.2,-97.66,0.005,4.68,,6.86
545,53.77,-113.6,0.005,4.32,,6.04
1671,45.9,-82.25,0.005,4.28,,6.99
1489,45.18,-71.93,0.005,4.17,,6.54
3581,46.36,-79.92,0.005,4.27,,6.74
3120,46.31,-73.65,0.005,4.33,,6.9
2318,44.01,-80.05,0.005,4.18,,6.82
2364,47.45,-68.35,0.005,4.15,,6.44
990,44.72,-63,0.005,3.87,,6.41
415,50.37,-102.57,0.005,4.91,,6.71
2296,47,-65.46,0.005,4.27,,6.62
830,44.46,-78.37,0.005,4.32,,6.96
3619,47.32,-65.01,0.005,4.24,,6.68
417,57.87,-101.67,0.005,4.11,,5.1
571,53.69,-56.97,0.005,4.9,,5.23
574,53.6,-113.41,0.005,4.37,,6.13
76,42.1,-83.1,0.005,4.43,,7.06
3267,51.49,-101.42,0.005,4.72,,6.57
3046,53.96,-111.69,0.005,4.54,,6.15
1845,44.42,-78.27,0.005,4.32,,7.15
1400,49.08,-118.67,0.005,4.04,,6.45
1243,52.29,-112.34,0.005,4.73,,6.2
2524,46.07,-67.55,0.005,4.18,,6.62
2308,50.57,-73.64,0.005,4.24,,6.09
1364,54.88,-126.2,0.005,3.59,,5.46
1639,44.46,-78.85,0.005,4.65,,6.92
2450,45.58,-62.64,0.005,3.95,,6.34
71,43.97,-80.23,0.005,4.74,,6.74
144,52.73,-122.45,0.005,4,,6.03
567,50.85,-113.46,0.005,4.8,,6.62
276,53.59,-113.39,0.005,4.88,,6.12
1056,49,-97.21,0.005,4.76,,6.9
1994,45.47,-63.6,0.005,4.03,,6.35
3335,49.87,-110.9,0.005,4.99,,6.87
3426,56.78,-98.93,0.005,4.18,,5.9
1924,45.6,-64.09,0.005,4.41,,6.47
3097,46.63,-70.66,0.005,4.12,,6.47
338,46.3,-82.87,0.005,4.3,,6.99
669,46.07,-79.48,0.005,3.99,,6.94
1725,45.56,-77.4,0.005,4.38,,6.89
7,45.63,-62.69,0.005,3.97,,6.54
1058,48.63,-93.77,0.005,4.6,,6.84
3596,45.71,-62.84,0.005,4.21,,6.49
2222,45.97,-64.59,0.005,4.15,,6.59
1244,45.77,-66.16,0.005,4.18,,6.75
3945,45.55,-62.71,0.005,3.95,,6.39
874,44.6,-76.12,0.005,3.77,,6.77
2257,49.15,-112.08,0.005,4.9,,7.08
1205,45.8,-67.76,0.005,4.15,,6.72
1946,49.69,-112.84,0.005,4.86,,7.1
1745,46.26,-63.32,0.005,4.14,,6.26
1856,47.81,-64.62,0.005,4.19,,6.6
110,50.3,-89.04,0.005,4.12,,6.65
2503,51.88,-102.08,0.005,4.67,,6.41
3803,45.73,-63.68,0.005,3.99,,6.63
935,42.97,-79.02,0.005,4.09,,6.65
3455,45.77,-65.32,0.005,3.51,,6.59
437,46.01,-64.21,0.005,3.93,,6.58
1019,48.01,-66.42,0.005,4.24,,6.38
694,43.96,-80.97,0.005,4.14,,6.72
1941,48.37,-68.11,0.005,4.1,,6.22
3780,45.52,-74.64,0.005,4.35,,6.76
2078,44.44,-64.37,0.005,3.95,,6.69
2327,49.22,-65.73,0.005,4.21,,6.32
88,52.32,-104.81,0.005,4.79,,6.45
3753,45.13,-62.95,0.005,3.91,,6.48
554,43.39,-79.98,0.005,4.19,,6.93
4000,45.16,-79.55,0.005,4.45,,6.88
1392,49.07,-53.57,0.005,3.47,,5.23
2468,42.69,-81.79,0.005,4.27,,6.95
2931,45.75,-63.46,0.005,3.75,,6.41
3,50.73,-108.75,0.005,4.95,,6.74
824,45.51,-75.4,0.005,3.71,,6.82
630,46.96,-71.01,0.005,4.13,,6.47
1334,51.31,-104.99,0.005,4.91,,6.71
1255,53.88,-94.64,0.005,4.31,,6.34
2243,45.92,-64.51,0.005,4.11,,6.51
4022,43.76,-79.22,0.005,4.14,,6.81
4034,53.64,-113.59,0.005,4.68,,6.03
2546,45.23,-67.19,0.005,4,,6.8
501,45.81,-65.96,0.005,4.21,,6.85
2436,43.37,-79.83,0.005,4.08,,6.91
403,50.16,-105.26,0.005,4.99,,6.6
486,43.86,-79.99,0.005,4.18,,6.84
849,55.76,-120.23,0.005,4.28,,5.69
406,44.55,-65.85,0.005,4.07,,6.72
2577,49.26,-119.83,0.005,4.12,,6.5
2980,48.51,-72.23,0.005,4.27,,6.35
1473,49.25,-121.95,0.005,3.56,,5.64
3784,49.09,-95.83,0.005,4.65,,6.91
2365,44.13,-79.3,0.005,4.24,,6.73
423,45.2,-72.56,0.005,4.18,,6.44
965,45.99,-61.49,0.005,4.99,,6.17
620,47.8,-83.43,0.005,4.22,,6.77
1757,53,-111.52,0.005,4.68,,6.27
838,45.14,-75.53,0.005,4.9,,7.01
3625,55.79,-117.67,0.005,4.35,,5.73
1113,56.06,-118.38,0.005,4.34,,5.77
3208,47.56,-67.33,0.005,4.18,,6.41
880,52.22,-109.65,0.005,4.82,,6.37
1686,49.91,-116.9,0.005,4.14,,6.19
2404,44.85,-62.53,0.005,3.81,,6.56
1222,45.65,-61.52,0.005,4.37,,6.34
231,47.28,-79.33,0.005,4.28,,6.55
2974,48.62,-69.09,0.005,4.12,,6.3
2281,50.29,-64.01,0.005,4.04,,6.08
664,53.49,-104.48,0.005,4.61,,6.34
4026,44.72,-81.01,0.005,4.93,,6.72
459,45.62,-79.4,0.005,4.21,,6.66
454,56.75,-121.27,0.005,4.18,,5.89
3990,53.82,-112.11,0.005,4.57,,6.01
698,52.47,-113.44,0.005,4.64,,6.26
3081,46.49,-70.21,0.005,4.11,,6.71
3427,44.99,-75.45,0.005,4.37,,6.99
79,48.56,-78.11,0.005,4.22,,6.33
3827,51.94,-105.64,0.005,4.88,,6.42
391,50.95,-114.56,0.005,4.56,,6.65
3131,46.31,-71.66,0.005,4.33,,6.59
2530,45.65,-65.73,0.005,4.17,,6.61
3353,45.89,-81.92,0.005,4.28,,6.95
1100,43.35,-81.48,0.005,4.2,,6.62
1754,46.32,-63.6,0.005,4.08,,6.34
1695,55.25,-120.03,0.005,4.25,,6.01
3295,50.75,-120.83,0.005,4.24,,6.33
3487,43.16,-79.25,0.005,4.23,,6.92
3204,46.58,-70.28,0.005,4.08,,6.65
1715,45.07,-64.49,0.005,4.1,,6.42
2957,50.9,-106.86,0.005,4.97,,6.62
1394,45.55,-62.56,0.005,4.04,,6.47
3242,46.75,-72.26,0.005,4.22,,6.65
2043,49.96,-124.76,0.005,3.71,,6.31
2293,49.16,-104.58,0.005,5.05,,7.12
3947,52.96,-113.37,0.005,4.59,,6.18
1372,44.86,-79.33,0.005,4.21,,6.83
2683,48.53,-64.21,0.005,4.02,,6.57
840,45.78,-72.01,0.005,4.22,,6.5
807,51.05,-55.82,0.005,3.47,,5.42
2493,51.51,-105,0.005,4.9,,6.3
3536,50.16,-113.64,0.005,4.76,,6.88
2374,44.64,-65.79,0.005,4.18,,6.79
316,49.32,-54.73,0.005,3.51,,5.52
3220,45.43,-72.88,0.005,4.21,,6.44
641,53.81,-114.67,0.005,4.41,,5.91
3849,44.12,-81.15,0.005,4.15,,6.62
989,44.13,-79.42,0.005,4.23,,6.83
3691,45.25,-81.66,0.005,4.27,,7.06
1499,50.61,-57.18,0.005,3.44,,5.37
1498,48.08,-84.56,0.005,4.13,,6.56
3609,45.1,-72.61,0.005,4.24,,6.4
3830,50.95,-98.64,0.005,4.69,,6.58
3991,49.39,-105.63,0.005,5.02,,6.79
1012,52.75,-110.45,0.005,4.74,,6.31
661,53.78,-78.9,0.005,4.1,,6.01
1229,45.66,-66.61,0.005,4.17,,6.78
1250,48.95,-54.58,0.005,3.47,,5.65
3417,45.75,-65.3,0.005,3.47,,6.55
2926,46.29,-84.03,0.005,4.27,,6.79
33,46.81,-64.06,0.005,4.13,,6.21
2008,45.25,-62.74,0.005,4.31,,6.7
2614,49.92,-74.81,0.005,4.17,,6.21
2574,45.46,-74.08,0.005,4.37,,6.97
245,55.2,-119.42,0.005,4.31,,5.75
2784,42.64,-80.8,0.005,4.2,,6.75
1539,46.76,-67.55,0.005,4.22,,6.52
1202,51.49,-56.94,0.005,3.48,,5.26
654,48.41,-71.06,0.005,4.19,,6.42
2459,52.86,-112.95,0.005,4.64,,6.16
3358,53.22,-106.38,0.005,4.77,,6.08
683,43.97,-79.12,0.005,4.24,,6.92
2101,45.74,-81.8,0.005,4.28,,6.82
2652,55.88,-107.69,0.005,4.43,,5.63
1211,58.46,-114.53,0.005,4.22,,5.69
1838,48.82,-124.05,0.005,3.66,,5.96
4064,44.37,-76.77,0.005,4.36,,7.07
161,49.21,-68.15,0.005,4.16,,6.24
2935,51.03,-114.11,0.005,3.75,,6.81
3022,49.07,-117.8,0.005,3.97,,6.25
347,52.1,-119.3,0.005,3.96,,5.56
3418,46.53,-64.91,0.005,3.47,,6.87
3981,55.36,-115.03,0.005,4.32,,5.63
1120,50.5,-119.55,0.005,4.14,,6.08
1675,48.53,-89.59,0.005,4.49,,6.82
1653,52.87,-118.08,0.005,4.31,,5.83
597,43.43,-80.42,0.005,4.18,,6.89
1109,43.58,-79.63,0.005,4.34,,6.81
3184,47.12,-70.18,0.005,4.31,,6.61
662,53.63,-78.76,0.005,4.1,,6.06
666,52.5,-106.55,0.005,4.79,,6.28
3934,42.6,-81.6,0.005,4.26,,7.02
401,44.84,-65.29,0.005,4.1,,6.5
452,45.58,-75.4,0.005,4.36,,6.8
1576,45.18,-73.85,0.005,4.36,,6.66
1544,53.41,-117.56,0.005,4.28,,5.99
828,50.94,-104.21,0.005,4.9,,6.67
999,43.77,-79.66,0.005,4.77,,6.84
4023,55.59,-118.77,0.005,4.33,,5.64
737,45.3,-65.68,0.005,4.14,,6.72
2016,45.42,-62.7,0.005,4.24,,6.42
1445,45.57,-65.5,0.005,4.12,,6.69
2750,49.31,-55.41,0.005,3.52,,5.44
2651,50.69,-111.67,0.005,4.95,,6.55
3234,47.31,-70.18,0.005,4.18,,6.68
2663,43.14,-79.26,0.005,4.21,,6.81
3766,45.5,-72.31,0.005,4.2,,6.53
1190,57.18,-111.59,0.005,4.29,,5.47
3845,44.62,-65.63,0.005,4.95,,6.56
3643,47.06,-79.79,0.005,4.28,,6.99
433,43.86,-66.07,0.005,3.93,,6.62
83,53.87,-112.33,0.005,4.56,,5.98
3001,46.73,-65.42,0.005,4.24,,6.71
2585,43.15,-81.08,0.005,4.14,,6.7
3712,46.26,-70.98,0.005,4.14,,6.65
532,45.83,-61.92,0.005,3.85,,6.28
1117,49.68,-95.32,0.005,4.59,,6.89
722,47.88,-59.39,0.005,3.52,,5.6
1043,44.58,-79.86,0.005,4.2,,6.83
3425,43.31,-81.5,0.005,4.21,,6.62
632,42.39,-82.18,0.005,4.28,,7.05
3985,52.41,-108.7,0.005,4.84,,6.25
1359,49.21,-65.13,0.005,4.21,,6.39
3826,48.13,-79.58,0.005,4.25,,6.69
890,48.61,-93.67,0.005,4.59,,6.69
1057,48.63,-93.83,0.005,4.6,,6.84
3352,44.92,-62.53,0.005,3.81,,6.61
3874,49.09,-100.8,0.005,5,,6.96
1023,51.74,-103.86,0.005,4.8,,6.5
1193,50.76,-103.79,0.005,4.91,,6.65
1679,45.32,-75.9,0.005,4.39,,6.83
136,48.75,-91.62,0.005,4.52,,6.68
467,45.86,-66.44,0.005,4.05,,6.76
2384,51.06,-114.06,0.005,4.18,,6.88
3937,45.68,-63.6,0.005,4.05,,6.51
2618,47,-67.29,0.005,4.19,,6.44
576,49.32,-117.66,0.005,4.05,,6.42
2646,49.78,-104.72,0.005,5,,7.03
602,46.01,-77.45,0.005,4.36,,6.89
2284,49.97,-56.04,0.005,3.47,,5.6
2035,46.35,-67.42,0.005,4.16,,6.56
1681,49.41,-82.41,0.005,4.17,,6.55
1249,44.33,-76.16,0.005,4.37,,6.88
3560,42.3,-82.54,0.005,4.41,,7.27
2275,43.5,-79.91,0.005,3.93,,6.94
2567,49.05,-84.1,0.005,4.16,,6.62
3939,44.52,-64.3,0.005,3.96,,6.49
731,43.01,-81.49,0.005,4.12,,6.77
2946,48.45,-68.53,0.005,4.18,,6.34
3546,52.32,-112.7,0.005,4.71,,6.33
1654,49.68,-87.52,0.005,4.23,,6.53
857,54.3,-125.83,0.005,3.67,,5.67
405,49.54,-55.64,0.005,4.07,,5.8
3397,55.16,-114.03,0.005,4.38,,5.84
2901,54.16,-93.56,0.005,4.27,,6.26
3531,48.36,-89.57,0.005,4.18,,6.84
659,53.69,-112.63,0.005,4.56,,6.05
2444,46.49,-66.27,0.005,4.2,,6.67
3435,44.49,-81.37,0.005,4.18,,6.59
866,52.19,-113.23,0.005,4.69,,6.26
258,51.38,-113.53,0.005,4.77,,6.35
1633,52.91,-111.22,0.005,4.69,,6.14
3062,45.55,-74.33,0.005,4.36,,6.82
1609,44.34,-78.14,0.005,4.09,,7.11
3031,48.23,-79.01,0.005,4.26,,6.49
2171,51.74,-96.92,0.005,4.5,,6.45
1669,45.87,-61.49,0.005,3.81,,6.03
3226,48.3,-68.33,0.005,4.28,,6.31
3544,48.54,-58.54,0.005,3.45,,5.53
3824,43.15,-79.39,0.005,4.22,,6.97
2557,44.45,-64.35,0.005,4.18,,6.69
1666,48.41,-71.24,0.005,4.17,,6.3
2550,44.59,-77.88,0.005,4.95,,7.01
3318,44.65,-66.84,0.005,3.38,,7.12
762,45.48,-76.07,0.005,4.4,,6.81
2824,46.7,-71.88,0.005,4.2,,6.61
3677,46.95,-64.03,0.005,4.13,,6.53
2981,47.87,-66.94,0.005,4.23,,6.39
1152,42.71,-81.31,0.005,4.22,,6.89
2792,44.43,-81.39,0.005,4.13,,6.69
3283,49.68,-97.44,0.005,4.69,,6.73
819,45.34,-75.83,0.005,4.2,,6.88
962,51.8,-106.5,0.005,4.94,,6.39
3637,46.18,-66.6,0.005,4.19,,6.73
691,51.64,-120.03,0.005,4.13,,6.12
3601,43.63,-79.44,0.005,3.43,,6.91
1692,51.26,-103.74,0.005,4.83,,6.66
2571,50.28,-103.78,0.005,4.36,,6.76
1737,44.26,-81.49,0.005,4.2,,6.39
3857,45.22,-64,0.005,4.06,,6.7
3041,55.75,-118.7,0.005,4.34,,5.71
2484,49.01,-88.26,0.005,4.34,,6.91
2465,44.65,-76.31,0.005,4.37,,6.87
74,45.83,-64.21,0.005,4.11,,6.61
42,49.05,-122.46,0.005,3.65,,5.67
2352,46.41,-62.7,0.005,3.97,,6.25
2851,49.46,-120.5,0.005,4.1,,6.63
976,42.66,-81.5,0.005,4.24,,6.92
1620,44.27,-79.61,0.005,4.23,,6.85
3296,45.33,-71.56,0.005,4.15,,6.49
1404,45.71,-74.66,0.005,4.36,,6.89
2905,53.95,-113.1,0.005,4.54,,5.9
3344,44.1,-79.43,0.005,4.23,,6.85
1891,45.61,-60.76,0.005,3.78,,6.26
2665,55.18,-102.93,0.005,4.32,,6.19
1619,52.02,-113.95,0.005,4.63,,6.32
1090,51.52,-100.39,0.005,4.71,,6.67
952,49.78,-92.76,0.005,4.49,,6.36
1264,49.2,-117.69,0.005,4.06,,6.17
3799,52,-111.12,0.005,4.82,,6.23
2944,47.17,-67.21,0.005,4.18,,6.32
1207,46.05,-64.69,0.005,4.32,,6.59
2903,49.97,-94.38,0.005,4.54,,6.63
441,46.3,-83.79,0.005,4.26,,6.84
1181,44.06,-81.21,0.005,4.15,,6.58
461,45.11,-64.81,0.005,4.22,,6.69
3538,49.56,-97.18,0.005,4.69,,6.66
953,48.33,-84.57,0.005,4.14,,6.64
2954,44.26,-77.55,0.005,4.29,,7
3755,47.82,-66.88,0.005,4.24,,6.32
1098,53.6,-115.01,0.005,4.39,,6.17
1631,43.2,-81.97,0.005,4.28,,7.06
2853,46.16,-71.88,0.005,4.21,,6.57
436,44.04,-64.68,0.005,3.93,,6.7
1226,47.68,-70.13,0.005,4.31,,6.59
3646,46.06,-67.24,0.005,4.18,,6.74
322,53,-113.05,0.005,4.61,,6.2
282,45.98,-67.6,0.005,3.5,,6.71
1875,49.12,-122.65,0.005,3.63,,5.74
609,45.17,-67.17,0.005,4.26,,6.87
930,49.89,-99.71,0.005,4.88,,6.74
582,49.11,-123.85,0.005,3.86,,6.38
1687,44.58,-78.83,0.005,4.28,,6.8
878,45.13,-77.27,0.005,4.36,,6.93
975,45.66,-72.33,0.005,4.22,,6.62
45,49.83,-100.29,0.005,4.92,,6.84
598,49,-53.92,0.005,3.48,,5.74
3274,44.58,-79.34,0.005,4.47,,6.61
1319,51.29,-116.96,0.005,4.29,,5.91
469,49.99,-117.87,0.005,4.05,,5.8
870,51.92,-107.13,0.005,4.94,,6.34
565,45.34,-76.03,0.005,4.4,,6.83
3419,44.81,-75.7,0.005,3.47,,6.87
1176,51.76,-121.1,0.005,4.12,,6.08
3180,46.58,-71.1,0.005,4.22,,6.6
1617,45.03,-75.39,0.005,4.21,,6.88
3005,50.22,-111.77,0.005,4.96,,6.78
2779,43.87,-81.71,0.005,4.21,,6.77
2336,46.78,-75.33,0.005,4.33,,6.59
2939,44.85,-76.14,0.005,4.39,,6.89
3740,44.62,-77.33,0.005,4.38,,7
848,48.76,-94.51,0.005,3.75,,6.83
3319,48.73,-64.32,0.005,3.38,,6.54
2156,44.22,-77.1,0.005,4.36,,6.96
2560,43.03,-80.33,0.005,4.18,,7.02
2986,49.06,-102.8,0.005,5.06,,6.99
3855,49.94,-110.04,0.005,4.99,,6.81
1909,45.76,-72.3,0.005,4.24,,6.61
1362,52.99,-114.05,0.005,4.5,,6.14
2347,51.29,-98.42,0.005,4.65,,6.65
2338,49.36,-82.17,0.005,4.17,,6.47
3706,49.09,-117.7,0.005,4.09,,6.35
2377,44.26,-78.49,0.005,4.18,,6.97
3303,48.81,-87.25,0.005,4.23,,7.07
1074,42.26,-81.92,0.005,4.36,,6.83
1408,49.66,-103.43,0.005,5.01,,7.01
3128,48.86,-72.08,0.005,4.23,,6.21
2056,46.07,-61.39,0.005,3.81,,5.92
2529,45.93,-63.86,0.005,4.1,,6.6
389,53.63,-113.61,0.005,4.41,,6.09
3447,55.77,-118.83,0.005,4.34,,5.72
1778,50.3,-104.29,0.005,4.97,,6.66
8,45.97,-61.05,0.005,4.89,,5.78
2641,44.81,-65.53,0.005,3.35,,6.62
24,47.01,-53.59,0.005,3.38,,5.78
3470,52.08,-114.31,0.005,4.57,,6.15
3235,47.52,-65.29,0.005,4.23,,6.73
3788,43.85,-79.53,0.005,4.23,,6.73
1230,44.27,-66.32,0.005,4.07,,6.75
317,50.48,-122.61,0.005,3.94,,5.78
1435,45.68,-62.74,0.005,4.25,,6.41
2212,45.58,-72.16,0.005,4.24,,6.54
2456,47.5,-79.68,0.005,4.32,,6.54
2400,46,-62.52,0.005,3.96,,6.41
3135,46.4,-71.06,0.005,4.15,,6.57
1661,44.15,-77.56,0.005,4.36,,7.06
1173,43.1,-82,0.005,4.28,,6.75
126,49.89,-97.35,0.005,5,,6.63
2065,49.31,-103.26,0.005,5.03,,7.02
1928,44.2,-79.16,0.005,4.25,,6.92
1433,47.44,-79.63,0.005,4.31,,6.35
2249,46.13,-65.97,0.005,4.19,,6.62
2782,45.1,-61.72,0.005,3.77,,6.49
2422,44.24,-76.95,0.005,4.36,,6.95
1297,42.75,-81.7,0.005,4.26,,6.96
1546,53.41,-122.58,0.005,3.89,,6.04
1208,54.39,-116.8,0.005,4.32,,5.91
1436,45.04,-78.5,0.005,4.25,,6.82
1707,49.81,-94.43,0.005,4.56,,6.73
3434,45.96,-67.25,0.005,4.18,,6.74
266,47.38,-78.7,0.005,4.25,,6.49
1651,42.88,-80.11,0.005,4.2,,6.92
2622,50.11,-119.36,0.005,4.13,,6.41
1797,45.41,-73.5,0.005,4.34,,6.83
869,48.6,-71.62,0.005,4.94,,6.24
2941,50.53,-99.46,0.005,4.79,,6.97
877,54.65,-102.07,0.005,4.34,,6.31
1212,44.61,-64.05,0.005,3.95,,6.31
1655,45.83,-66.11,0.005,4.2,,6.85
3285,47.89,-73.79,0.005,4.36,,6.41
164,50.28,-62.8,0.005,3.94,,5.88
787,48.73,-123.61,0.005,3.86,,6.37
130,58.69,-118.68,0.005,4.23,,5.77
2688,46.72,-67.71,0.005,4.19,,6.53
1123,49.49,-124.34,0.005,3.79,,6.12
1342,45.34,-66.25,0.005,4.12,,6.79
2595,49.51,-82.93,0.005,4.16,,6.68
517,43.19,-80.46,0.005,4.11,,6.81
1638,51.32,-113.6,0.005,4.77,,6.34
