,Latitude,Longitude,Total Capacity (MW),Annual,,First Yr Annual (MWh)
2010,56.53,-115.39,0.005,4.31,,5.96
1061,50.17,-112.42,0.005,4.92,,6.85
3747,42.03,-82.67,0.005,4.21,,6.88
515,51.08,-115.36,0.005,4.49,,6.14
3710,46.74,-53.36,0.005,3.36,,5.68
2717,44.14,-78.86,0.005,4.1,,6.96
2575,49.35,-119.56,0.005,4.14,,6.69
111,47.71,-79.82,0.005,4.12,,6.41
1346,49.03,-118.43,0.005,4.08,,6.56
3969,60.69,-135.08,0.005,3.51,,4.96
49,45.55,-74.88,0.005,4.36,,6.76
1521,50.1,-125.21,0.005,3.61,,5.93
1849,49.86,-119.53,0.005,4.14,,6.5
658,46.17,-65.87,0.005,4.56,,6.59
2766,49.74,-107.48,0.005,4.99,,6.94
325,52.37,-113.79,0.005,4.61,,6.29
1859,45.65,-61.94,0.005,4.41,,6.15
2616,51.48,-107.05,0.005,4.95,,6.43
993,44.61,-63.47,0.005,3.91,,6.66
1664,45.33,-71.75,0.005,4.16,,6.48
253,43.55,-81.3,0.005,4.18,,6.7
1878,46.4,-74.86,0.005,4.36,,6.8
3118,45.23,-73.51,0.005,4.2,,6.76
1649,51.78,-104.71,0.005,4.85,,6.47
2820,50.03,-66.86,0.005,4.08,,6.17
789,49.11,-58.08,0.005,3.43,,5.4
2504,49.07,-55.23,0.005,3.49,,5.57
3859,50.25,-101.97,0.005,4.9,,6.65
913,49.48,-121.41,0.005,3.68,,5.68
2998,51.23,-113.14,0.005,4.82,,6.52
3049,48.41,-71.06,0.005,4.18,,6.42
2269,47.85,-59.34,0.005,4.16,,5.27
1068,47.82,-79.87,0.005,4.28,,6.59
780,42.12,-82.74,0.005,4.41,,6.88
1163,54.76,-101.86,0.005,4.31,,6.19
186,49.76,-112.26,0.005,4.92,,7.08
727,55.12,-101.11,0.005,4.53,,6.3
3659,51.42,-102.92,0.005,4.78,,6.75
3717,45.98,-79.36,0.005,4.22,,6.81
3926,55.15,-119.14,0.005,4.31,,5.69
225,43.09,-80.82,0.005,4.17,,6.84
476,47.91,-69.5,0.005,4.16,,6.48
