Latitude,Longitude,Array Type,Market Pricing,Utility-scale Tariff Applied,First Yr Annual (MWh),Breakeven Price ($/MWh),Reference Price ($/MWh),Total Capacity (MW),Annual
53.21,-107.12,Utility Fixed,Time of use,Tariff,63690.46,90.71,48.43,50,4.24
53.21,-107.12,Utility Tracker,Flat,No Tariff,80205.06,79.89,48.43,50,4.24
53.21,-107.12,Utility Tracker,Flat,Tariff,80205.06,105.59,48.43,50,4.24
53.21,-107.12,Utility Tracker,Time of use,No Tariff,80205.06,58.79,48.43,50,4.24
53.21,-107.12,Utility Tracker,Time of use,Tariff,80205.06,77.7,48.43,50,4.24
52.36,-114.36,Commercial,Flat,,256.9,111.9,84.13,0.2,4.53
52.36,-114.36,Commercial,Time of use,,256.9,80.2,84.13,0.2,4.53
52.36,-114.36,Community,Flat,,256.9,106.28,84.13,0.2,4.53
52.36,-114.36,Community,Time of use,,256.9,76.17,84.13,0.2,4.53
52.36,-114.36,Residential,Flat,,6.23,145.46,97.06,0.005,4.53
52.36,-114.36,Residential,Time of use,,6.23,111.28,97.06,0.005,4.53
52.36,-114.36,Utility Fixed,Flat,No Tariff,64226.2,88.08,25.98,50,4.53
52.36,-114.36,Utility Fixed,Flat,Tariff,64226.2,97.11,25.98,50,4.53
52.36,-114.36,Utility Fixed,Time of use,No Tariff,64226.2,63.14,25.98,50,4.53
52.36,-114.36,Utility Fixed,Time of use,Tariff,64226.2,69.62,25.98,50,4.53
52.36,-114.36,Utility Tracker,Flat,No Tariff,79719.18,75.88,25.98,50,4.53
52.36,-114.36,Utility Tracker,Flat,Tariff,79719.18,83.14,25.98,50,4.53
52.36,-114.36,Utility Tracker,Time of use,No Tariff,79719.18,55.64,25.98,50,4.53
52.36,-114.36,Utility Tracker,Time of use,Tariff,79719.18,60.97,25.98,50,4.53
45.38,-63.91,Commercial,Flat,,255.99,125.52,127.7,0.2,4.07
45.38,-63.91,Commercial,Time of use,,255.99,110.17,127.7,0.2,4.07
45.38,-63.91,Community,Flat,,255.99,109.53,127.7,0.2,4.07
45.38,-63.91,Community,Time of use,,255.99,96.13,127.7,0.2,4.07
45.38,-63.91,Residential,Flat,,6.3,161.23,142.7,0.005,4.07
45.38,-63.91,Residential,Time of use,,6.3,144.32,142.7,0.005,4.07
45.38,-63.91,Utility Fixed,Flat,No Tariff,63998.95,94.84,80.15,50,4.07
45.38,-63.91,Utility Fixed,Flat,Tariff,63998.95,151.76,80.15,50,4.07
45.38,-63.91,Utility Fixed,Time of use,No Tariff,63998.95,83.25,80.15,50,4.07
45.38,-63.91,Utility Fixed,Time of use,Tariff,63998.95,133.21,80.15,50,4.07
45.38,-63.91,Utility Tracker,Flat,No Tariff,75777.44,85.7,80.15,50,4.07
45.38,-63.91,Utility Tracker,Flat,Tariff,75777.44,133.76,80.15,50,4.07
45.38,-63.91,Utility Tracker,Time of use,No Tariff,75777.44,75.87,80.15,50,4.07
45.38,-63.91,Utility Tracker,Time of use,Tariff,75777.44,118.42,80.15,50,4.07
44.96,-62.13,Commercial,Flat,,267.51,120.16,127.7,0.2,3.79
44.96,-62.13,Commercial,Time of use,,267.51,105.19,127.7,0.2,3.79
44.96,-62.13,Community,Flat,,267.51,104.85,127.7,0.2,3.79
44.96,-62.13,Community,Time of use,,267.51,91.78,127.7,0.2,3.79
44.96,-62.13,Residential,Flat,,6.55,155.01,142.7,0.005,3.79
44.96,-62.13,Residential,Time of use,,6.55,137.42,142.7,0.005,3.79
44.96,-62.13,Utility Fixed,Flat,No Tariff,66878.2,90.99,80.15,50,3.79
44.96,-62.13,Utility Fixed,Flat,Tariff,66878.2,145.51,80.15,50,3.79
44.96,-62.13,Utility Fixed,Time of use,No Tariff,66878.2,79.66,80.15,50,3.79
44.96,-62.13,Utility Fixed,Time of use,Tariff,66878.2,127.38,80.15,50,3.79
44.96,-62.13,Utility Tracker,Flat,No Tariff,79586.75,81.85,80.15,50,3.79
44.96,-62.13,Utility Tracker,Flat,Tariff,79586.75,127.66,80.15,50,3.79
44.96,-62.13,Utility Tracker,Time of use,No Tariff,79586.75,72.31,80.15,50,3.79
44.96,-62.13,Utility Tracker,Time of use,Tariff,79586.75,112.78,80.15,50,3.79
53.18,-108.76,Commercial,Flat,,254.73,123.12,113.05,0.2,4.74
53.18,-108.76,Commercial,Time of use,,254.73,86.88,113.05,0.2,4.74
53.18,-108.76,Community,Flat,,254.73,111.03,113.05,0.2,4.74
53.18,-108.76,Community,Time of use,,254.73,78.34,113.05,0.2,4.74
53.18,-108.76,Residential,Flat,,6.14,161.32,165.82,0.005,4.74
53.18,-108.76,Residential,Time of use,,6.14,109.44,165.82,0.005,4.74
53.18,-108.76,Utility Fixed,Flat,No Tariff,63684.24,94.33,48.43,50,4.74
53.18,-108.76,Utility Fixed,Flat,Tariff,63684.24,126.93,48.43,50,4.74
53.18,-108.76,Utility Fixed,Time of use,No Tariff,63684.24,66.65,48.43,50,4.74
53.18,-108.76,Utility Fixed,Time of use,Tariff,63684.24,89.67,48.43,50,4.74
53.18,-108.76,Utility Tracker,Flat,No Tariff,79283.86,80.73,48.43,50,4.74
53.18,-108.76,Utility Tracker,Flat,Tariff,79283.86,106.71,48.43,50,4.74
53.18,-108.76,Utility Tracker,Time of use,No Tariff,79283.86,58.78,48.43,50,4.74
53.18,-108.76,Utility Tracker,Time of use,Tariff,79283.86,77.69,48.43,50,4.74
52.78,-112.78,Commercial,Flat,,259.79,110.68,84.13,0.2,4.66
52.78,-112.78,Commercial,Time of use,,259.79,80.19,84.13,0.2,4.66
52.78,-112.78,Community,Flat,,259.79,105.11,84.13,0.2,4.66
52.78,-112.78,Community,Time of use,,259.79,76.16,84.13,0.2,4.66
52.78,-112.78,Residential,Flat,,6.26,144.81,97.06,0.005,4.66
52.78,-112.78,Residential,Time of use,,6.26,110.96,97.06,0.005,4.66
52.78,-112.78,Utility Fixed,Flat,No Tariff,64949.76,87.2,25.98,50,4.66
52.78,-112.78,Utility Fixed,Flat,Tariff,64949.76,96.13,25.98,50,4.66
52.78,-112.78,Utility Fixed,Time of use,No Tariff,64949.76,63.18,25.98,50,4.66
52.78,-112.78,Utility Fixed,Time of use,Tariff,64949.76,69.65,25.98,50,4.66
52.78,-112.78,Utility Tracker,Flat,No Tariff,80947.73,74.86,25.98,50,4.66
52.78,-112.78,Utility Tracker,Flat,Tariff,80947.73,82.01,25.98,50,4.66
52.78,-112.78,Utility Tracker,Time of use,No Tariff,80947.73,55.5,25.98,50,4.66
52.78,-112.78,Utility Tracker,Time of use,Tariff,80947.73,60.81,25.98,50,4.66
43.57,-80.14,Commercial,Flat,,276.27,115.49,146.51,0.2,4.17
43.57,-80.14,Commercial,Time of use,,276.27,94.04,146.51,0.2,4.17
43.57,-80.14,Community,Flat,,276.27,102.89,146.51,0.2,4.17
43.57,-80.14,Community,Time of use,,276.27,83.78,146.51,0.2,4.17
43.57,-80.14,Residential,Flat,,6.83,145.96,125.93,0.005,4.17
43.57,-80.14,Residential,Time of use,,6.83,120.03,125.93,0.005,4.17
43.57,-80.14,Utility Fixed,Flat,No Tariff,69067.69,89.58,18.64,50,4.17
43.57,-80.14,Utility Fixed,Flat,Tariff,69067.69,91.04,18.64,50,4.17
43.57,-80.14,Utility Fixed,Time of use,No Tariff,69067.69,72.94,18.64,50,4.17
43.57,-80.14,Utility Fixed,Time of use,Tariff,69067.69,74.13,18.64,50,4.17
43.57,-80.14,Utility Tracker,Flat,No Tariff,84564.02,78.19,18.64,50,4.17
43.57,-80.14,Utility Tracker,Flat,Tariff,84564.02,79.39,18.64,50,4.17
43.57,-80.14,Utility Tracker,Time of use,No Tariff,84564.02,63.59,18.64,50,4.17
43.57,-80.14,Utility Tracker,Time of use,Tariff,84564.02,64.56,18.64,50,4.17
50.63,-104.25,Commercial,Flat,,275.68,113.79,113.05,0.2,4.92
50.63,-104.25,Commercial,Time of use,,275.68,81.33,113.05,0.2,4.92
50.63,-104.25,Community,Flat,,275.68,102.61,113.05,0.2,4.92
50.63,-104.25,Community,Time of use,,275.68,73.34,113.05,0.2,4.92
50.63,-104.25,Residential,Flat,,6.7,147.92,165.82,0.005,4.92
50.63,-104.25,Residential,Time of use,,6.7,99.54,165.82,0.005,4.92
50.63,-104.25,Utility Fixed,Flat,No Tariff,68920.24,87.71,48.43,50,4.92
50.63,-104.25,Utility Fixed,Flat,Tariff,68920.24,117.92,48.43,50,4.92
50.63,-104.25,Utility Fixed,Time of use,No Tariff,68920.24,62.71,48.43,50,4.92
50.63,-104.25,Utility Fixed,Time of use,Tariff,68920.24,84.31,48.43,50,4.92
50.63,-104.25,Utility Tracker,Flat,No Tariff,85893.32,75.17,48.43,50,4.92
50.63,-104.25,Utility Tracker,Flat,Tariff,85893.32,99.28,48.43,50,4.92
50.63,-104.25,Utility Tracker,Time of use,No Tariff,85893.32,55.05,48.43,50,4.92
50.63,-104.25,Utility Tracker,Time of use,Tariff,85893.32,72.7,48.43,50,4.92
52.75,-110.45,Commercial,Flat,,261.57,109.94,84.13,0.2,4.74
52.75,-110.45,Commercial,Time of use,,261.57,80.47,84.13,0.2,4.74
52.75,-110.45,Community,Flat,,261.57,104.41,84.13,0.2,4.74
52.75,-110.45,Community,Time of use,,261.57,76.43,84.13,0.2,4.74
52.75,-110.45,Residential,Flat,,6.31,143.61,97.06,0.005,4.74
52.75,-110.45,Residential,Time of use,,6.31,109.94,97.06,0.005,4.74
52.75,-110.45,Utility Fixed,Flat,No Tariff,65394.9,86.66,25.98,50,4.74
52.75,-110.45,Utility Fixed,Flat,Tariff,65394.9,95.54,25.98,50,4.74
52.75,-110.45,Utility Fixed,Time of use,No Tariff,65394.9,63.43,25.98,50,4.74
52.75,-110.45,Utility Fixed,Time of use,Tariff,65394.9,69.93,25.98,50,4.74
52.75,-110.45,Utility Tracker,Flat,No Tariff,80985.81,74.9,25.98,50,4.74
52.75,-110.45,Utility Tracker,Flat,Tariff,80985.81,82.06,25.98,50,4.74
52.75,-110.45,Utility Tracker,Time of use,No Tariff,80985.81,56,25.98,50,4.74
52.75,-110.45,Utility Tracker,Time of use,Tariff,80985.81,61.35,25.98,50,4.74
50.69,-116.13,Commercial,Flat,,257.54,119.11,87.21,0.2,4.42
50.69,-116.13,Commercial,Time of use,,257.54,96.32,87.21,0.2,4.42
50.69,-116.13,Community,Flat,,257.54,113.12,87.21,0.2,4.42
50.69,-116.13,Community,Time of use,,257.54,91.48,87.21,0.2,4.42
50.69,-116.13,Residential,Flat,,6.27,154.2,97.75,0.005,4.42
50.69,-116.13,Residential,Time of use,,6.27,127.45,97.75,0.005,4.42
50.69,-116.13,Utility Fixed,Flat,No Tariff,64386.45,93.48,47.71,50,4.42
50.69,-116.13,Utility Fixed,Flat,Tariff,64386.45,120.48,47.71,50,4.42
50.69,-116.13,Utility Fixed,Time of use,No Tariff,64386.45,75.59,47.71,50,4.42
50.69,-116.13,Utility Fixed,Time of use,Tariff,64386.45,97.42,47.71,50,4.42
50.69,-116.13,Utility Tracker,Flat,No Tariff,76148.21,84.42,47.71,50,4.42
50.69,-116.13,Utility Tracker,Flat,Tariff,76148.21,107.19,47.71,50,4.42
50.69,-116.13,Utility Tracker,Time of use,No Tariff,76148.21,68.34,47.71,50,4.42
50.69,-116.13,Utility Tracker,Time of use,Tariff,76148.21,86.78,47.71,50,4.42
49.78,-118.14,Commercial,Flat,,248.61,125.72,87.21,0.2,4.04
49.78,-118.14,Commercial,Time of use,,248.61,101.38,87.21,0.2,4.04
49.78,-118.14,Community,Flat,,248.61,119.5,87.21,0.2,4.04
49.78,-118.14,Community,Time of use,,248.61,96.36,87.21,0.2,4.04
49.78,-118.14,Residential,Flat,,6.12,160.13,97.75,0.005,4.04
49.78,-118.14,Residential,Time of use,,6.12,133.64,97.75,0.005,4.04
49.78,-118.14,Utility Fixed,Flat,No Tariff,62152.9,99.03,47.71,50,4.04
49.78,-118.14,Utility Fixed,Flat,Tariff,62152.9,127.12,47.71,50,4.04
49.78,-118.14,Utility Fixed,Time of use,No Tariff,62152.9,79.85,47.71,50,4.04
49.78,-118.14,Utility Fixed,Time of use,Tariff,62152.9,102.51,47.71,50,4.04
49.78,-118.14,Utility Tracker,Flat,No Tariff,75468.58,87.12,47.71,50,4.04
49.78,-118.14,Utility Tracker,Flat,Tariff,75468.58,110.23,47.71,50,4.04
49.78,-118.14,Utility Tracker,Time of use,No Tariff,75468.58,70.25,47.71,50,4.04
49.78,-118.14,Utility Tracker,Time of use,Tariff,75468.58,88.88,47.71,50,4.04
53.53,-113.49,Commercial,Flat,,260.53,110.38,84.13,0.2,4.55
53.53,-113.49,Commercial,Time of use,,260.53,80.12,84.13,0.2,4.55
53.53,-113.49,Community,Flat,,260.53,104.83,84.13,0.2,4.55
53.53,-113.49,Community,Time of use,,260.53,76.09,84.13,0.2,4.55
53.53,-113.49,Residential,Flat,,6.27,144.57,97.06,0.005,4.55
53.53,-113.49,Residential,Time of use,,6.27,110.84,97.06,0.005,4.55
53.53,-113.49,Utility Fixed,Flat,No Tariff,65134.69,86.96,25.98,50,4.55
53.53,-113.49,Utility Fixed,Flat,Tariff,65134.69,95.86,25.98,50,4.55
53.53,-113.49,Utility Fixed,Time of use,No Tariff,65134.69,63.12,25.98,50,4.55
53.53,-113.49,Utility Fixed,Time of use,Tariff,65134.69,69.59,25.98,50,4.55
53.53,-113.49,Utility Tracker,Flat,No Tariff,80973.7,74.79,25.98,50,4.55
53.53,-113.49,Utility Tracker,Flat,Tariff,80973.7,81.94,25.98,50,4.55
53.53,-113.49,Utility Tracker,Time of use,No Tariff,80973.7,55.5,25.98,50,4.55
53.53,-113.49,Utility Tracker,Time of use,Tariff,80973.7,60.81,25.98,50,4.55
47.37,-68.29,Commercial,Flat,,266.14,128.66,117.73,0.2,4.15
47.37,-68.29,Commercial,Time of use,,266.14,112.51,117.73,0.2,4.15
47.37,-68.29,Community,Flat,,266.14,112.26,117.73,0.2,4.15
47.37,-68.29,Community,Time of use,,266.14,98.17,117.73,0.2,4.15
47.37,-68.29,Residential,Flat,,6.49,166.8,124.32,0.005,4.15
47.37,-68.29,Residential,Time of use,,6.49,146.21,124.32,0.005,4.15
47.37,-68.29,Utility Fixed,Flat,No Tariff,66535.8,97.39,52,50,4.15
47.37,-68.29,Utility Fixed,Flat,Tariff,66535.8,145.22,52,50,4.15
47.37,-68.29,Utility Fixed,Time of use,No Tariff,66535.8,85.17,52,50,4.15
47.37,-68.29,Utility Fixed,Time of use,Tariff,66535.8,127,52,50,4.15
47.37,-68.29,Utility Tracker,Flat,No Tariff,81901.78,84.83,52,50,4.15
47.37,-68.29,Utility Tracker,Flat,Tariff,81901.78,123.69,52,50,4.15
47.37,-68.29,Utility Tracker,Time of use,No Tariff,81901.78,74.88,52,50,4.15
47.37,-68.29,Utility Tracker,Time of use,Tariff,81901.78,109.19,52,50,4.15
53.58,-116.43,Commercial,Flat,,245.85,116.97,84.13,0.2,4.33
53.58,-116.43,Commercial,Time of use,,245.85,84.53,84.13,0.2,4.33
53.58,-116.43,Community,Flat,,245.85,111.09,84.13,0.2,4.33
53.58,-116.43,Community,Time of use,,245.85,80.28,84.13,0.2,4.33
53.58,-116.43,Residential,Flat,,5.92,152.99,97.06,0.005,4.33
53.58,-116.43,Residential,Time of use,,5.92,115.51,97.06,0.005,4.33
53.58,-116.43,Utility Fixed,Flat,No Tariff,61463.41,91.85,25.98,50,4.33
53.58,-116.43,Utility Fixed,Flat,Tariff,61463.41,101.28,25.98,50,4.33
53.58,-116.43,Utility Fixed,Time of use,No Tariff,61463.41,66.4,25.98,50,4.33
53.58,-116.43,Utility Fixed,Time of use,Tariff,61463.41,73.22,25.98,50,4.33
53.58,-116.43,Utility Tracker,Flat,No Tariff,75083.56,80.27,25.98,50,4.33
53.58,-116.43,Utility Tracker,Flat,Tariff,75083.56,87.98,25.98,50,4.33
53.58,-116.43,Utility Tracker,Time of use,No Tariff,75083.56,59.4,25.98,50,4.33
53.58,-116.43,Utility Tracker,Time of use,Tariff,75083.56,65.1,25.98,50,4.33
46.96,-65.62,Commercial,Flat,,268.74,127.42,117.73,0.2,4.27
46.96,-65.62,Commercial,Time of use,,268.74,111.49,117.73,0.2,4.27
46.96,-65.62,Community,Flat,,268.74,111.17,117.73,0.2,4.27
46.96,-65.62,Community,Time of use,,268.74,97.27,117.73,0.2,4.27
46.96,-65.62,Residential,Flat,,6.54,165.46,124.32,0.005,4.27
46.96,-65.62,Residential,Time of use,,6.54,145.1,124.32,0.005,4.27
46.96,-65.62,Utility Fixed,Flat,No Tariff,67187.24,96.47,52,50,4.27
46.96,-65.62,Utility Fixed,Flat,Tariff,67187.24,143.84,52,50,4.27
46.96,-65.62,Utility Fixed,Time of use,No Tariff,67187.24,84.42,52,50,4.27
46.96,-65.62,Utility Fixed,Time of use,Tariff,67187.24,125.87,52,50,4.27
46.96,-65.62,Utility Tracker,Flat,No Tariff,81241.07,85.48,52,50,4.27
46.96,-65.62,Utility Tracker,Flat,Tariff,81241.07,124.66,52,50,4.27
46.96,-65.62,Utility Tracker,Time of use,No Tariff,81241.07,75.44,52,50,4.27
46.96,-65.62,Utility Tracker,Time of use,Tariff,81241.07,110.01,52,50,4.27
48.01,-66.42,Commercial,Flat,,261.59,130.87,117.73,0.2,4.24
48.01,-66.42,Commercial,Time of use,,261.59,114.56,117.73,0.2,4.24
48.01,-66.42,Community,Flat,,261.59,114.19,117.73,0.2,4.24
48.01,-66.42,Community,Time of use,,261.59,99.96,117.73,0.2,4.24
48.01,-66.42,Residential,Flat,,6.38,169.5,124.32,0.005,4.24
48.01,-66.42,Residential,Time of use,,6.38,148.73,124.32,0.005,4.24
48.01,-66.42,Utility Fixed,Flat,No Tariff,65399.67,98.99,52,50,4.24
48.01,-66.42,Utility Fixed,Flat,Tariff,65399.67,147.64,52,50,4.24
48.01,-66.42,Utility Fixed,Time of use,No Tariff,65399.67,86.66,52,50,4.24
48.01,-66.42,Utility Fixed,Time of use,Tariff,65399.67,129.25,52,50,4.24
48.01,-66.42,Utility Tracker,Flat,No Tariff,78605.54,88.18,52,50,4.24
48.01,-66.42,Utility Tracker,Flat,Tariff,78605.54,128.66,52,50,4.24
48.01,-66.42,Utility Tracker,Time of use,No Tariff,78605.54,77.87,52,50,4.24
48.01,-66.42,Utility Tracker,Time of use,Tariff,78605.54,113.62,52,50,4.24
45.54,-77.09,Commercial,Flat,,279.44,114.22,146.51,0.2,4.39
45.54,-77.09,Commercial,Time of use,,279.44,92.87,146.51,0.2,4.39
45.54,-77.09,Community,Flat,,279.44,101.76,146.51,0.2,4.39
45.54,-77.09,Community,Time of use,,279.44,82.74,146.51,0.2,4.39
45.54,-77.09,Residential,Flat,,6.87,145.32,125.93,0.005,4.39
45.54,-77.09,Residential,Time of use,,6.87,119.77,125.93,0.005,4.39
45.54,-77.09,Utility Fixed,Flat,No Tariff,69861.22,88.65,18.64,50,4.39
45.54,-77.09,Utility Fixed,Flat,Tariff,69861.22,90.09,18.64,50,4.39
45.54,-77.09,Utility Fixed,Time of use,No Tariff,69861.22,72.07,18.64,50,4.39
45.54,-77.09,Utility Fixed,Time of use,Tariff,69861.22,73.25,18.64,50,4.39
45.54,-77.09,Utility Tracker,Flat,No Tariff,85946.01,77.04,18.64,50,4.39
45.54,-77.09,Utility Tracker,Flat,Tariff,85946.01,78.21,18.64,50,4.39
45.54,-77.09,Utility Tracker,Time of use,No Tariff,85946.01,62.56,18.64,50,4.39
45.54,-77.09,Utility Tracker,Time of use,Tariff,85946.01,63.52,18.64,50,4.39
51.12,-106.59,Commercial,Flat,,261.76,119.81,113.05,0.2,4.96
51.12,-106.59,Commercial,Time of use,,261.76,85.02,113.05,0.2,4.96
51.12,-106.59,Community,Flat,,261.76,108.04,113.05,0.2,4.96
51.12,-106.59,Community,Time of use,,261.76,76.67,113.05,0.2,4.96
51.12,-106.59,Residential,Flat,,6.37,155.55,165.82,0.005,4.96
51.12,-106.59,Residential,Time of use,,6.37,105.31,165.82,0.005,4.96
51.12,-106.59,Utility Fixed,Flat,No Tariff,65440.89,92.06,48.43,50,4.96
51.12,-106.59,Utility Fixed,Flat,Tariff,65440.89,123.83,48.43,50,4.96
51.12,-106.59,Utility Fixed,Time of use,No Tariff,65440.89,65.37,48.43,50,4.96
51.12,-106.59,Utility Fixed,Time of use,Tariff,65440.89,87.92,48.43,50,4.96
51.12,-106.59,Utility Tracker,Flat,No Tariff,81823.06,78.65,48.43,50,4.96
51.12,-106.59,Utility Tracker,Flat,Tariff,81823.06,103.92,48.43,50,4.96
51.12,-106.59,Utility Tracker,Time of use,No Tariff,81823.06,57.47,48.43,50,4.96
51.12,-106.59,Utility Tracker,Time of use,Tariff,81823.06,75.94,48.43,50,4.96
44.5,-79.01,Commercial,Flat,,280.86,113.61,146.51,0.2,4
44.5,-79.01,Commercial,Time of use,,280.86,92.46,146.51,0.2,4
44.5,-79.01,Community,Flat,,280.86,101.22,146.51,0.2,4
44.5,-79.01,Community,Time of use,,280.86,82.37,146.51,0.2,4
44.5,-79.01,Residential,Flat,,6.94,143.83,125.93,0.005,4
44.5,-79.01,Residential,Time of use,,6.94,118.21,125.93,0.005,4
44.5,-79.01,Utility Fixed,Flat,No Tariff,70215.52,88.2,18.64,50,4
44.5,-79.01,Utility Fixed,Flat,Tariff,70215.52,89.63,18.64,50,4
44.5,-79.01,Utility Fixed,Time of use,No Tariff,70215.52,71.77,18.64,50,4
44.5,-79.01,Utility Fixed,Time of use,Tariff,70215.52,72.94,18.64,50,4
44.5,-79.01,Utility Tracker,Flat,No Tariff,86176.67,76.82,18.64,50,4
44.5,-79.01,Utility Tracker,Flat,Tariff,86176.67,77.99,18.64,50,4
44.5,-79.01,Utility Tracker,Time of use,No Tariff,86176.67,62.41,18.64,50,4
44.5,-79.01,Utility Tracker,Time of use,Tariff,86176.67,63.36,18.64,50,4
51.74,-103.86,Commercial,Flat,,267.51,117.23,113.05,0.2,4.8
51.74,-103.86,Commercial,Time of use,,267.51,83.37,113.05,0.2,4.8
51.74,-103.86,Community,Flat,,267.51,105.71,113.05,0.2,4.8
51.74,-103.86,Community,Time of use,,267.51,75.18,113.05,0.2,4.8
51.74,-103.86,Residential,Flat,,6.5,152.45,165.82,0.005,4.8
51.74,-103.86,Residential,Time of use,,6.5,102.94,165.82,0.005,4.8
51.74,-103.86,Utility Fixed,Flat,No Tariff,66879.11,90.2,48.43,50,4.8
51.74,-103.86,Utility Fixed,Flat,Tariff,66879.11,121.31,48.43,50,4.8
51.74,-103.86,Utility Fixed,Time of use,No Tariff,66879.11,64.18,48.43,50,4.8
51.74,-103.86,Utility Fixed,Time of use,Tariff,66879.11,86.3,48.43,50,4.8
51.74,-103.86,Utility Tracker,Flat,No Tariff,83443.47,77.2,48.43,50,4.8
51.74,-103.86,Utility Tracker,Flat,Tariff,83443.47,101.99,48.43,50,4.8
51.74,-103.86,Utility Tracker,Time of use,No Tariff,83443.47,56.39,48.43,50,4.8
51.74,-103.86,Utility Tracker,Time of use,Tariff,83443.47,74.49,48.43,50,4.8
45.42,-62.67,Commercial,Flat,,259.49,123.83,127.7,0.2,4.95
45.42,-62.67,Commercial,Time of use,,259.49,108.73,127.7,0.2,4.95
45.42,-62.67,Community,Flat,,259.49,108.06,127.7,0.2,4.95
45.42,-62.67,Community,Time of use,,259.49,94.88,127.7,0.2,4.95
45.42,-62.67,Residential,Flat,,6.38,159.05,142.7,0.005,4.95
45.42,-62.67,Residential,Time of use,,6.38,141.47,142.7,0.005,4.95
45.42,-62.67,Utility Fixed,Flat,No Tariff,64873.14,93.64,80.15,50,4.95
45.42,-62.67,Utility Fixed,Flat,Tariff,64873.14,149.8,80.15,50,4.95
45.42,-62.67,Utility Fixed,Time of use,No Tariff,64873.14,82.22,80.15,50,4.95
45.42,-62.67,Utility Fixed,Time of use,Tariff,64873.14,131.54,80.15,50,4.95
45.42,-62.67,Utility Tracker,Flat,No Tariff,80058.81,81.35,80.15,50,4.95
45.42,-62.67,Utility Tracker,Flat,Tariff,80058.81,126.87,80.15,50,4.95
45.42,-62.67,Utility Tracker,Time of use,No Tariff,80058.81,72.29,80.15,50,4.95
45.42,-62.67,Utility Tracker,Time of use,Tariff,80058.81,112.73,80.15,50,4.95
45.79,-65.1,Commercial,Flat,,269.88,126.88,117.73,0.2,4.95
45.79,-65.1,Commercial,Time of use,,269.88,111.21,117.73,0.2,4.95
45.79,-65.1,Community,Flat,,269.88,110.7,117.73,0.2,4.95
45.79,-65.1,Community,Time of use,,269.88,97.03,117.73,0.2,4.95
45.79,-65.1,Residential,Flat,,6.61,163.66,124.32,0.005,4.95
45.79,-65.1,Residential,Time of use,,6.61,143.73,124.32,0.005,4.95
45.79,-65.1,Utility Fixed,Flat,No Tariff,67471.18,96.08,52,50,4.95
45.79,-65.1,Utility Fixed,Flat,Tariff,67471.18,143.25,52,50,4.95
45.79,-65.1,Utility Fixed,Time of use,No Tariff,67471.18,84.22,52,50,4.95
45.79,-65.1,Utility Fixed,Time of use,Tariff,67471.18,125.57,52,50,4.95
45.79,-65.1,Utility Tracker,Flat,No Tariff,82094.43,84.63,52,50,4.95
45.79,-65.1,Utility Tracker,Flat,Tariff,82094.43,123.39,52,50,4.95
45.79,-65.1,Utility Tracker,Time of use,No Tariff,82094.43,74.85,52,50,4.95
45.79,-65.1,Utility Tracker,Time of use,Tariff,82094.43,109.14,52,50,4.95
45.01,-74.26,Commercial,Flat,,269.71,116.58,85.79,0.2,4.95
45.01,-74.26,Commercial,Time of use,,269.71,94.56,85.79,0.2,4.95
45.01,-74.26,Community,Flat,,269.71,101.84,85.79,0.2,4.95
45.01,-74.26,Community,Time of use,,269.71,82.61,85.79,0.2,4.95
45.01,-74.26,Residential,Flat,,6.65,149.12,67.95,0.005,4.95
45.01,-74.26,Residential,Time of use,,6.65,122.31,67.95,0.005,4.95
45.01,-74.26,Utility Fixed,Flat,No Tariff,67427.79,89.17,32.7,50,4.95
45.01,-74.26,Utility Fixed,Flat,Tariff,67427.79,154.9,32.7,50,4.95
45.01,-74.26,Utility Fixed,Time of use,No Tariff,67427.79,72.33,32.7,50,4.95
45.01,-74.26,Utility Fixed,Time of use,Tariff,67427.79,125.63,32.7,50,4.95
45.01,-74.26,Utility Tracker,Flat,No Tariff,81782.51,78.73,32.7,50,4.95
45.01,-74.26,Utility Tracker,Flat,Tariff,81782.51,132.87,32.7,50,4.95
45.01,-74.26,Utility Tracker,Time of use,No Tariff,81782.51,63.82,32.7,50,4.95
45.01,-74.26,Utility Tracker,Time of use,Tariff,81782.51,107.71,32.7,50,4.95
49.44,-100.26,Commercial,Flat,,279.73,113.34,66.4,0.2,4.95
49.44,-100.26,Commercial,Time of use,,279.73,93.05,66.4,0.2,4.95
49.44,-100.26,Community,Flat,,279.73,100.54,66.4,0.2,4.95
49.44,-100.26,Community,Time of use,,279.73,82.54,66.4,0.2,4.95
49.44,-100.26,Residential,Flat,,6.8,147.33,87.21,0.005,4.95
49.44,-100.26,Residential,Time of use,,6.8,124.1,87.21,0.005,4.95
49.44,-100.26,Utility Fixed,Flat,No Tariff,69932.55,86.98,33.42,50,4.95
49.44,-100.26,Utility Fixed,Flat,Tariff,69932.55,115.73,33.42,50,4.95
49.44,-100.26,Utility Fixed,Time of use,No Tariff,69932.55,71.4,33.42,50,4.95
49.44,-100.26,Utility Fixed,Time of use,Tariff,69932.55,95,33.42,50,4.95
49.44,-100.26,Utility Tracker,Flat,No Tariff,87268.2,74.69,33.42,50,4.95
49.44,-100.26,Utility Tracker,Flat,Tariff,87268.2,97.68,33.42,50,4.95
49.44,-100.26,Utility Tracker,Time of use,No Tariff,87268.2,61.24,33.42,50,4.95
49.44,-100.26,Utility Tracker,Time of use,Tariff,87268.2,80.08,33.42,50,4.95
