,Actual,Prediction,% Diff
1723,5.9,6.045555556,0.024076457
1724,5.9,6.045555556,0.024076457
1867,5.9,5.903333333,0.000564653
1868,5.9,5.903333333,0.000564653
2525,5.9,5.977777778,0.013011152
2526,5.9,5.977777778,0.013011152
2713,5.9,5.897777778,0.00037679
2714,5.9,5.897777778,0.00037679
2739,5.9,5.977777778,0.013011152
2740,5.9,5.977777778,0.013011152
2765,5.9,6.075555556,0.028895391
2766,5.9,6.075555556,0.028895391
3135,5.9,5.907777778,0.001316532
3136,5.9,5.907777778,0.001316532
779,5.91,5.854444444,0.009489467
780,5.91,5.854444444,0.009489467
2867,5.91,5.802222222,0.018575259
2868,5.91,5.802222222,0.018575259
2945,5.91,6.154444444,0.039718361
2946,5.91,6.154444444,0.039718361
25,5.92,6.043333333,0.020408163
26,5.92,6.043333333,0.020408163
1887,5.92,5.896666667,0.003957038
1888,5.92,5.896666667,0.003957038
2421,5.92,5.936666667,0.002807412
2422,5.92,5.936666667,0.002807412
2423,5.92,5.936666667,0.002807412
2424,5.92,5.936666667,0.002807412
2661,5.92,5.938888889,0.003180543
2662,5.92,5.938888889,0.003180543
2811,5.92,6.102222222,0.029861617
2812,5.92,6.102222222,0.029861617
3127,5.92,5.683333333,0.041642229
3128,5.92,5.683333333,0.041642229
3665,5.92,6.013333333,0.015521064
3666,5.92,6.013333333,0.015521064
4053,5.92,6.353333333,0.068205666
4054,5.92,6.353333333,0.068205666
199,5.93,5.916666667,0.002253521
200,5.93,5.916666667,0.002253521
1071,5.93,5.772222222,0.027333975
1072,5.93,5.772222222,0.027333975
1245,5.93,5.883333333,0.007932011
1246,5.93,5.883333333,0.007932011
1651,5.93,6.038888889,0.018031279
1652,5.93,6.038888889,0.018031279
3459,5.93,5.783333333,0.025360231
3460,5.93,5.783333333,0.025360231
3469,5.93,5.883333333,0.007932011
3470,5.93,5.883333333,0.007932011
3793,5.93,5.93,0
3794,5.93,5.93,0
1163,5.94,6.005555556,0.010915819
1164,5.94,6.005555556,0.010915819
1605,5.94,5.97,0.005025126
1606,5.94,5.97,0.005025126
1633,5.94,6.135555556,0.03187251
1634,5.94,6.135555556,0.03187251
4063,5.94,6.102222222,0.026584122
4064,5.94,6.102222222,0.026584122
4065,5.94,6.102222222,0.026584122
4066,5.94,6.102222222,0.026584122
4069,5.94,6.16,0.035714286
4070,5.94,6.16,0.035714286
89,5.95,6.056666667,0.017611447
90,5.95,6.056666667,0.017611447
359,5.95,6.156666667,0.033567948
360,5.95,6.156666667,0.033567948
1577,5.95,6.096666667,0.024056862
1578,5.95,6.096666667,0.024056862
2699,5.95,6.152222222,0.032869785
2700,5.95,6.152222222,0.032869785
3969,5.95,5.856666667,0.015936255
3970,5.95,5.856666667,0.015936255
71,5.96,5.593333333,0.065554231
72,5.96,5.593333333,0.065554231
809,5.96,5.968888889,0.001489203
810,5.96,5.968888889,0.001489203
2465,5.96,6.073333333,0.018660812
2466,5.96,6.073333333,0.018660812
3241,5.96,6.2,0.038709677
3242,5.96,6.2,0.038709677
3245,5.96,6.028888889,0.011426465
3246,5.96,6.028888889,0.011426465
789,5.97,6.202222222,0.037441777
790,5.97,6.202222222,0.037441777
3387,5.97,6.103333333,0.021845986
3388,5.97,6.103333333,0.021845986
3397,5.97,6.094444444,0.020419325
3398,5.97,6.094444444,0.020419325
537,5.98,5.861111111,0.02028436
538,5.98,5.861111111,0.02028436
1537,5.98,5.953333333,0.004479283
1538,5.98,5.953333333,0.004479283
1639,5.98,6.088888889,0.017883212
1640,5.98,6.088888889,0.017883212
2741,5.98,6.2,0.035483871
2742,5.98,6.2,0.035483871
3517,5.98,6.331111111,0.055458055
3518,5.98,6.331111111,0.055458055
323,5.99,6.007777778,0.002959127
324,5.99,6.007777778,0.002959127
1313,5.99,5.976666667,0.002230898
1314,5.99,5.976666667,0.002230898
1327,5.99,6.034444444,0.007365126
1328,5.99,6.034444444,0.007365126
1663,5.99,5.617777778,0.066257911
1664,5.99,5.617777778,0.066257911
1849,5.99,5.971111111,0.003163379
1850,5.99,5.971111111,0.003163379
3821,5.99,5.715555556,0.048017107
3822,5.99,5.715555556,0.048017107
727,6,5.636666667,0.0644589
728,6,5.636666667,0.0644589
1049,6,5.912222222,0.014846833
1050,6,5.912222222,0.014846833
